SEQ,Shipping Location Code,Shipping Location Name,Delivery Due Date,Delivery Time (From),Delivery Time (To),Item Number,Item Name,Supplier Code,Supplier Name,User Code,User Name,P/F,P/F Name,Order No.,Order Quantity,Unit,Production Classification,Color,Item Class,Packing Name,Packing Capacity,Pickup,Delivery Slip No.,Delivery Slip & Receipt Card Print Date,Inspection Report Print Date,Item Card Print Date,Original Item Code,Supplier Information,Output date
27,0,<Default>,30-09-24,7:30,8:00,BJMF465B000080,"CAP,ROTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,764,300,PCS,,,2,6033,400,,Y0B766710728442,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
28,0,<Default>,30-09-24,7:30,8:00,BJMH2155000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,580,200,PCS,,,2,6011,100,,Y0B766710728486,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
29,0,<Default>,30-09-24,7:30,8:00,BJMH2592000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,764,300,PCS,,,2,6011,800,,Y0B766710728403,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
30,0,<Default>,30-09-24,7:30,8:00,2DPE5495000080,"SEAL,PROTECTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1988,760,PCS,,,2,6011,40,,Y0B766710726349,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
31,0,<Default>,30-09-24,7:30,8:00,B5DF465B000080,"CAP,ROTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1420,160,PCS,,,2,6011,40,,Y0B766710727503,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
32,0,<Default>,30-09-24,7:30,8:00,B65F18160000M0,"PIPE,1",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,2247,160,PCS,,,2,6033,40,,Y0B766710727275,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
33,0,<Default>,30-09-24,7:30,8:00,B65F2211000080,COVER,7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1732,320,PCS,,,2,6011,40,,Y0B766710726520,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
34,0,<Default>,30-09-24,7:30,8:00,B65F3123000080,"COVER,UNDER 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,3328,760,PCS,,,2,6011,40,,Y0B766710726743,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
35,0,<Default>,30-09-24,7:30,8:00,B65F312G000080,"PLUG,HOLE",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1729,680,PCS,,,2,6011,40,,Y0B766710726654,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
36,0,<Default>,30-09-24,7:30,8:00,B65F3415000080,"COVER,BALL RACE 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1852,720,PCS,,,2,6011,40,,Y0B766710726605,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
